"PUMA_CODE","STATE_NAME","STATE_ABBR","STATE_FIPS","PUMA_NAME","METRO_STATUS","POP10","POP17","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","DENSITY","URBAN_STATUS"
"0101100","Alabama","AL","01","Calhoun County PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",118572,115675,605.868,6.419,33.771706,-85.822513,195.705995365327,"Rural"
"0101200","Alabama","AL","01","Shelby County PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",195085,208647,784.93,24.595,33.262937,-86.678104,248.538086198769,"Rural"
"0101301","Alabama","AL","01","Birmingham City (West) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",100833,96391,42.28,0.037,33.49033,-86.883139,2384.88647114475,"Suburban"
"0101302","Alabama","AL","01","Birmingham City (East) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",102098,103509,52.237,0.086,33.555909,-86.756142,1954.51499894711,"Rural"
"0101303","Alabama","AL","01","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",170145,171846,136.356,2.015,33.474612,-86.711302,1247.7998767931,"Rural"
"0101304","Alabama","AL","01","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",174673,176530,453.475,2.904,33.714258,-86.802264,385.187717073709,"Rural"
"0101305","Alabama","AL","01","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",110717,111296,426.928,7.497,33.434511,-87.080529,259.334126597459,"Rural"
"0101400","Alabama","AL","01","Walker, Marion (South & West), Fayette & Lamar Counties PUMA","Metropolitan status indeterminable (mixed)",121750,118669,2574.809,16.725,33.834628,-87.724685,47.2850607559629,"Rural"
"0101500","Alabama","AL","01","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",103773,109253,2130.18,36.003,33.281418,-87.756588,48.7156014984649,"Rural"
"0101600","Alabama","AL","01","Tuscaloosa & Northport (Southeast) Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",110629,115218,72.983,2.211,33.201238,-87.521211,1515.81875231218,"Rural"
"0101700","Alabama","AL","01","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA","Metropolitan status indeterminable (mixed)",136921,129350,5492.763,63.526,32.589457,-87.596644,24.9275273664638,"Rural"
"0101800","Alabama","AL","01","Chilton, Tallapoosa, Chambers & Coosa Counties PUMA","Metropolitan status indeterminable (mixed)",131013,129433,2656.832,79.688,32.88994,-86.052459,49.3117366848939,"Rural"
"0101900","Alabama","AL","01","Lee County--Auburn City PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",140247,156394,607.536,8.313,32.604064,-85.353048,230.845579521214,"Rural"
"0102000","Alabama","AL","01","Montgomery City & Pike Road Town (North) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",196534,196567,132.236,1.428,32.341927,-86.223004,1486.23672827369,"Rural"
"0102100","Alabama","AL","01","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",178002,177263,2580.842,71.905,32.35655,-86.410852,68.9705142740237,"Rural"
"0102200","Alabama","AL","01","Southwest Alabama PUMA","Not in metropolitan area",143558,137452,6941.582,68.108,31.600225,-87.612903,20.6808764918429,"Rural"
"0102300","Alabama","AL","01","Coffee, Covington, Butler & Crenshaw Counties PUMA","Not in metropolitan area",122566,122596,3095.097,17.982,31.502969,-86.376499,39.6000513069542,"Rural"
"0102400","Alabama","AL","01","Russell, Pike, Barbour, Macon & Bullock Counties PUMA","Metropolitan status indeterminable (mixed)",145669,148030,3429.801,33.263,32.062466,-85.57046,42.4715603033529,"Rural"
"0102500","Alabama","AL","01","Houston, Dale, Geneva & Henry Counties--Dothan City PUMA","Metropolitan status indeterminable (mixed)",195890,197092,2277.132,14.482,31.297937,-85.499464,86.0248769065649,"Rural"
"0102600","Alabama","AL","01","Baldwin County PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",182265,203444,1589.784,437.527,30.659218,-87.746067,114.647650246826,"Rural"
"0102701","Alabama","AL","01","Mobile City (East) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",110765,107401,61.349,16.255,30.680215,-88.071361,1805.48990203589,"Rural"
"0102702","Alabama","AL","01","Mobile City (West) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",107285,107447,56.919,0.258,30.691515,-88.166799,1884.87148403872,"Rural"
"0102703","Alabama","AL","01","Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",194942,199230,1111.168,398.064,30.903689,-88.314888,175.438817532542,"Rural"
"0200101","Alaska","AK","02","Anchorage Municipality (North) PUMA","In metropolitan area: In central/principal city",132542,134465,1031.669,74.171,61.24468,-148.997459,128.473376635336,"Urban"
"0200102","Alaska","AK","02","Anchorage Municipality (South) PUMA","In metropolitan area: In central/principal city",159284,163620,673.014,182.147,61.009648,-149.317711,236.672639796498,"Urban"
"0200200","Alaska","AK","02","Matanuska-Susitna & Kenai Peninsula Boroughs PUMA","Metropolitan status indeterminable (mixed)",144395,159269,40683.229,9326.695,61.21714,-150.62376,3.54925121602319,"Rural"
"0200300","Alaska","AK","02","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA","Metropolitan status indeterminable (mixed)",164300,168692,89429.577,9287.664,62.148673,-143.286819,1.8371997890586,"Rural"
"0200400","Alaska","AK","02","Subsistence Alaska PUMA","Not in metropolitan area",109710,112519,438823.46,75872.419,63.607762,-155.279909,0.250009422923743,"Rural"
"0400100","Arizona","AZ","04","Maricopa County--Gilbert (South) & Queen Creek Towns PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",111283,140766,68.962,0.07,33.259855,-111.688949,1613.6857979757,"Rural"
"0400101","Arizona","AZ","04","Maricopa County--Mesa City (East) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",146304,163089,86.676,0.232,33.382837,-111.641203,1687.94129862938,"Rural"
"0400102","Arizona","AZ","04","Maricopa County--Mesa City (North Central) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",131113,141288,40.986,0.778,33.452301,-111.764666,3198.9703801298,"Suburban"
"0400103","Arizona","AZ","04","Maricopa County--Mesa City (West) PUMA","In metropolitan area: In central/principal city",106091,113692,18.036,0.149,33.391731,-111.850765,5882.18008427589,"Urban"
"0400104","Arizona","AZ","04","Maricopa County--Mesa City (South Central) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",100229,109518,20.908,0.033,33.400096,-111.743972,4793.81098144251,"Suburban"
"0400105","Arizona","AZ","04","Maricopa County--Gilbert Town (North) PUMA","In metropolitan area: Not in central/principal city",135319,139167,36.961,0.161,33.347019,-111.76203,3661.12929844972,"Suburban"
"0400106","Arizona","AZ","04","Maricopa County--Chandler City (Northeast) PUMA","In metropolitan area: Not in central/principal city",114036,115586,22.912,0.002,33.317759,-111.849353,4977.12988826816,"Suburban"
"0400107","Arizona","AZ","04","Maricopa County--Chandler City (South) PUMA","In metropolitan area: Not in central/principal city",100430,108011,40.707,0.154,33.238416,-111.83069,2467.14324317685,"Suburban"
"0400108","Arizona","AZ","04","Maricopa County--Tempe (South) & Chandler (Northwest) Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",101048,109412,27.293,0.176,33.338075,-111.934469,3702.34125966365,"Suburban"
"0400109","Arizona","AZ","04","Maricopa County--Tempe City (North) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",102150,111417,24.341,0.149,33.413267,-111.932801,4196.62298180025,"Suburban"
"0400110","Arizona","AZ","04","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",116958,132674,47.066,0.394,33.540999,-111.930259,2484.97854077253,"Suburban"
"0400111","Arizona","AZ","04","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",104877,110347,1274.542,15.568,33.723629,-111.585319,82.2860290206207,"Rural"
"0400112","Arizona","AZ","04","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",105478,119260,235.004,0.221,33.765733,-111.932418,448.834913448282,"Rural"
"0400113","Arizona","AZ","04","Phoenix City (Northeast) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",102189,105559,33.04,0.094,33.5957,-111.985722,3092.88740920097,"Suburban"
"0400114","Arizona","AZ","04","Phoenix City (Northeast Central) PUMA","In metropolitan area: In central/principal city",103639,110609,24.037,0.022,33.613506,-112.036903,4311.64454798852,"Urban"
"0400115","Arizona","AZ","04","Phoenix City (Northwest Central) PUMA","In metropolitan area: In central/principal city",101757,106240,21.905,0.028,33.614768,-112.090403,4645.37776763296,"Urban"
"0400116","Arizona","AZ","04","Phoenix City (Uptown) PUMA","In metropolitan area: In central/principal city",100212,109322,17.182,0.047,33.529431,-112.086832,5832.38272610872,"Urban"
"0400117","Arizona","AZ","04","Phoenix City (East) PUMA","In metropolitan area: In central/principal city",100444,105953,23.927,0.129,33.491775,-111.993576,4197.93538680152,"Urban"
"0400118","Arizona","AZ","04","Phoenix City--Downtown & Sky Harbor International Airport PUMA","In metropolitan area: In central/principal city",108714,113059,34.594,0.109,33.450201,-112.044468,3142.5680753888,"Urban"
"0400119","Arizona","AZ","04","Phoenix City (South) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",105514,113132,30.653,0.159,33.396573,-112.074219,3442.20794049522,"Suburban"
"0400120","Arizona","AZ","04","Phoenix City--Ahwatukee & South Mountain PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",100182,107570,55.074,0.072,33.325865,-112.065647,1819.04346878745,"Rural"
"0400121","Arizona","AZ","04","Phoenix (Southwest) & Tolleson Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",123745,146607,63.218,0.186,33.41045,-112.199588,1957.43300958588,"Rural"
"0400122","Arizona","AZ","04","Phoenix City--Maryvale (East) PUMA","In metropolitan area: In central/principal city",104327,109823,14.246,0.027,33.488194,-112.149536,7323.24863119472,"Urban"
"0400123","Arizona","AZ","04","Phoenix City--Maryvale (West) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",108404,132285,16.071,0.01,33.485788,-112.229657,6745.31765291519,"Suburban"
"0400124","Arizona","AZ","04","Maricopa County--Glendale City (South) PUMA","In metropolitan area: Not in central/principal city",100367,110523,26.034,0.004,33.531508,-112.226455,3855.22777905815,"Suburban"
"0400125","Arizona","AZ","04","Phoenix City (West) PUMA","In metropolitan area: In central/principal city",101932,109647,15.924,0.093,33.569201,-112.138172,6401.15548857071,"Urban"
"0400126","Arizona","AZ","04","Maricopa County--Glendale City (North) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",121841,128324,32.026,0.116,33.634034,-112.187896,3804.44014238431,"Suburban"
"0400127","Arizona","AZ","04","Maricopa County--Peoria City (South & Central) PUMA","In metropolitan area: Not in central/principal city",113447,114453,28.397,0.079,33.60816,-112.239718,3995.03468676269,"Suburban"
"0400128","Arizona","AZ","04","Phoenix City (North) PUMA","In metropolitan area: In central/principal city",103065,105588,28.915,0.015,33.64661,-112.135566,3564.41293446308,"Urban"
"0400129","Arizona","AZ","04","Phoenix (Far North) & Peoria (Northwest) Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",105818,116062,252.406,1.973,33.845785,-112.163167,419.237260603948,"Rural"
"0400130","Arizona","AZ","04","Maricopa County--El Mirage City & Sun City PUMA","In metropolitan area: Not in central/principal city",116222,120954,44.027,0.275,33.625777,-112.319837,2639.78922025121,"Suburban"
"0400131","Arizona","AZ","04","Maricopa County--Surprise City (Central) PUMA","In metropolitan area: Not in central/principal city",103540,114109,38.229,0.062,33.621341,-112.404973,2708.41507755892,"Suburban"
"0400132","Arizona","AZ","04","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA","In metropolitan area: Not in central/principal city",102571,120030,142.09,0.234,33.450506,-112.409895,721.873460482793,"Suburban"
"0400133","Arizona","AZ","04","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",103989,113705,38.925,0.102,33.445983,-112.319725,2671.52215799615,"Suburban"
"0400134","Arizona","AZ","04","Maricopa County (West) & Gila River Indian Community (Northwest) PUMA","In metropolitan area: Not in central/principal city",109882,128240,6274.831,2.325,33.220576,-112.798822,17.5115473229478,"Suburban"
"0400201","Arizona","AZ","04","Pima County (West) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",101172,103404,7073.62,0.563,32.08453,-112.09457,14.3027191169444,"Rural"
"0400202","Arizona","AZ","04","Tucson (West) & Marana Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",115321,121151,320.554,0.996,32.36414,-111.162707,359.755298639231,"Rural"
"0400203","Arizona","AZ","04","Pima County (North Central)--Oro Valley Town PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",109462,114408,203.842,0.292,32.425863,-110.899271,536.994338752563,"Rural"
"0400204","Arizona","AZ","04","Pima County (Northeast) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",104434,104355,346.287,0.087,32.40551,-110.667432,301.582213597392,"Rural"
"0400205","Arizona","AZ","04","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",122285,137171,1129.599,0.015,31.983217,-110.709961,108.255230395919,"Rural"
"0400206","Arizona","AZ","04","Tucson City (Northeast) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",102159,99467,23.404,0.086,32.242476,-110.863396,4365.02307297898,"Suburban"
"0400207","Arizona","AZ","04","Tucson City (Northwest) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",101927,103166,19.393,0,32.264047,-110.968407,5255.86551848605,"Suburban"
"0400208","Arizona","AZ","04","Tucson City (South) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",108063,106376,26.641,0,32.167867,-110.954704,4056.26665665703,"Suburban"
"0400209","Arizona","AZ","04","Tucson City (Southeast) PUMA","In metropolitan area: In central/principal city",115440,117532,43.696,0.022,32.183339,-110.851404,2641.88941779568,"Urban"
"0400300","Arizona","AZ","04","Navajo & Apache Counties PUMA","Not in metropolitan area",178967,179483,21147.942,30.214,35.387782,-109.880468,8.46262014526047,"Rural"
"0400400","Arizona","AZ","04","Coconino County--Flagstaff City PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",134421,138695,18618.885,42.457,35.829692,-111.773728,7.21960525563158,"Rural"
"0400500","Arizona","AZ","04","Yavapai County PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",211033,221001,8123.499,4.441,34.630044,-112.573745,25.9780914603424,"Rural"
"0400600","Arizona","AZ","04","Mohave & La Paz Counties--Lake Havasu City PUMA","Metropolitan status indeterminable (mixed)",220675,225076,17810.712,163.689,35.201778,-113.829545,12.390015626551,"Rural"
"0400700","Arizona","AZ","04","Yuma County--Yuma City PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",195751,204421,5513.992,5.117,32.773942,-113.910905,35.5007769325744,"Rural"
"0400800","Arizona","AZ","04","Gila, Graham, Greenlee & Pinal (East) Counties PUMA","Metropolitan status indeterminable (mixed)",110114,111795,12250.612,66.533,33.303189,-110.231324,8.98844890361396,"Rural"
"0400803","Arizona","AZ","04","Pinal County (North)--Apache Junction City PUMA","In metropolitan area: Not in central/principal city",123512,139624,554.193,0.03,33.352129,-111.320989,222.868206563417,"Suburban"
"0400805","Arizona","AZ","04","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities PUMA","In metropolitan area: Not in central/principal city",114145,118551,2115.244,2.731,32.837658,-111.200339,53.9630416160027,"Suburban"
"0400807","Arizona","AZ","04","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities PUMA","In metropolitan area: Not in central/principal city",127253,135609,1669.218,0.599,32.801898,-111.880751,76.2350993099763,"Suburban"
"0400900","Arizona","AZ","04","Cochise & Santa Cruz Counties--Sierra Vista City PUMA","Metropolitan status indeterminable (mixed)",178766,172640,7402.607,54.098,31.824311,-109.926047,24.1490599190258,"Rural"
"0500100","Arkansas","AR","05","Benton County PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",221339,251679,847.357,36.549,36.337825,-94.256187,261.211036198438,"Rural"
"0500200","Arkansas","AR","05","Washington County PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",203065,223686,941.966,10.443,35.971209,-94.218417,215.575721416697,"Rural"
"0500300","Arkansas","AR","05","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA","Metropolitan status indeterminable (mixed)",154757,154141,4692.856,103.586,36.136822,-93.080919,32.9771465393355,"Rural"
"0500400","Arkansas","AR","05","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA","Not in metropolitan area",135511,134480,4435.402,72.536,35.884311,-91.935451,30.5521348459508,"Rural"
"0500500","Arkansas","AR","05","Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA","Metropolitan status indeterminable (mixed)",180287,188213,2926.92,14.791,36.159938,-90.780012,61.5961488527189,"Rural"
"0500600","Arkansas","AR","05","Crittenden, Mississippi & Craighead (East) Counties PUMA","Metropolitan status indeterminable (mixed)",107095,102577,1747.589,48.944,35.571205,-90.193934,61.2815713534475,"Rural"
"0500700","Arkansas","AR","05","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA","Metropolitan status indeterminable (mixed)",111041,104492,3914.946,81.628,34.96847,-90.832407,28.3633541816413,"Rural"
"0500800","Arkansas","AR","05","White, Jackson, Prairie & Woodruff Counties PUMA","Not in metropolitan area",111048,111089,2903.762,49.512,35.208359,-91.46659,38.2428036457533,"Rural"
"0500900","Arkansas","AR","05","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",197726,206423,645.117,44.787,34.777324,-92.303593,306.496340973808,"Rural"
"0501000","Arkansas","AR","05","Pulaski County (Central)--Little Rock City PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",185022,186230,114.646,3.114,34.723595,-92.356206,1613.85482267153,"Rural"
"0501100","Arkansas","AR","05","Faulkner & Lonoke Counties PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",181593,193146,1418.613,48.3,34.700066,-91.87762,128.007426972684,"Rural"
"0501200","Arkansas","AR","05","Saline County PUMA","In metropolitan area: Not in central/principal city",107118,116349,723.604,6.886,34.648525,-92.674463,148.034007551091,"Suburban"
"0501300","Arkansas","AR","05","Pope, Johnson, Yell, Conway & Perry Counties PUMA","Metropolitan status indeterminable (mixed)",141197,142671,3505.988,83.589,35.246108,-93.145033,40.2730984817974,"Rural"
"0501400","Arkansas","AR","05","Sebastian & Crawford Counties PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",187692,189423,1125.005,25.398,35.40305,-94.257523,166.83659183737,"Rural"
"0501500","Arkansas","AR","05","Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA","Not in metropolitan area",103220,101078,4220.661,67.668,34.710455,-94.024726,24.4558849905264,"Rural"
"0501600","Arkansas","AR","05","Garland, Hot Spring, Clark & Montgomery Counties PUMA","Metropolitan status indeterminable (mixed)",161429,162959,2938.938,100.974,34.358878,-93.250194,54.927664346781,"Rural"
"0501700","Arkansas","AR","05","Jefferson, Grant & Arkansas (Northwest) Counties PUMA","Metropolitan status indeterminable (mixed)",106729,100113,1824.166,59.174,34.284816,-92.019228,58.5083813644153,"Rural"
"0501800","Arkansas","AR","05","Southeast Arkansas PUMA","Metropolitan status indeterminable (mixed)",107079,103109,5641.849,165.618,33.64959,-91.652956,18.9794161453098,"Rural"
"0501900","Arkansas","AR","05","South Central Arkansas PUMA","Not in metropolitan area",105795,101501,3834.018,28.207,33.477038,-92.746256,27.5937671654124,"Rural"
"0502000","Arkansas","AR","05","Southwest Arkansas PUMA","Metropolitan status indeterminable (mixed)",107175,104585,3632.074,91.366,33.642894,-93.713507,29.5079340343837,"Rural"
"0600101","California","CA","06","Alameda County (North)--Berkeley & Albany Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",131119,139889,12.258,3.326,37.873915,-122.286558,10696.6062979279,"Urban"
"0600102","California","CA","06","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",158091,170039,15.56,4.334,37.812827,-122.282092,10160.0899742931,"Urban"
"0600103","California","CA","06","Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",125229,132344,27.596,0.069,37.806576,-122.19356,4537.94028120017,"Suburban"
"0600104","California","CA","06","Alameda County (North Central)--Oakland City (South Central) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",124608,134409,9.267,0.092,37.762046,-122.190369,13446.4227905471,"Urban"
"0600105","California","CA","06","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",163534,173295,31.019,61.567,37.720011,-122.221368,5272.05906057578,"Suburban"
"0600106","California","CA","06","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",134752,144610,57.909,1.747,37.740352,-122.070823,2326.96126681518,"Suburban"
"0600107","California","CA","06","Alameda County (Central)--Hayward City PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",145655,157028,58.277,2.791,37.633986,-122.060256,2499.35652144071,"Suburban"
"0600108","California","CA","06","Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA","In metropolitan area: Not in central/principal city",135402,145530,68.201,4.866,37.538378,-122.028054,1985.33745839504,"Suburban"
"0600109","California","CA","06","Alameda County (South Central)--Fremont City (East) PUMA","In metropolitan area: Not in central/principal city",189764,204011,43.463,0.107,37.540411,-121.951429,4366.10450268044,"Suburban"
"0600110","California","CA","06","Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",202117,229118,415.467,3.412,37.619318,-121.72168,486.481477469931,"Rural"
"0600300","California","CA","06","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA","Not in metropolitan area",191208,187495,19252.489,229.608,37.230558,-118.455924,9.93159897403395,"Rural"
"0600701","California","CA","06","Butte County (Northwest)--Chico City PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",111389,115925,509.478,4.359,39.813844,-121.778787,218.633581822964,"Rural"
"0600702","California","CA","06","Butte County (Southeast)--Oroville City & Paradise Town PUMA","In metropolitan area: Not in central/principal city",108611,109300,1126.986,36.307,39.600503,-121.500771,96.3729806758913,"Suburban"
"0601100","California","CA","06","Colusa, Glenn, Tehama & Trinity Counties PUMA","Not in metropolitan area",126790,125704,8593.64,59.466,40.10195,-122.600203,14.7539343049046,"Rural"
"0601301","California","CA","06","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA","In metropolitan area: Not in central/principal city",114777,120444,20.42,7.459,37.934882,-122.365183,5620.81292850147,"Suburban"
"0601302","California","CA","06","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA","In metropolitan area: Not in central/principal city",118671,125500,34.748,36.768,37.990635,-122.326313,3415.1893634166,"Suburban"
"0601303","California","CA","06","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA","In metropolitan area: Not in central/principal city",129625,136519,88.06,6.592,37.980185,-122.178482,1472.00772200772,"Suburban"
"0601304","California","CA","06","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",117784,127710,93.839,0.29,37.872104,-122.106224,1255.17109091103,"Rural"
"0601305","California","CA","06","Contra Costa County (South)--San Ramon City & Danville Town PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",124585,130942,156.42,0.06,37.815441,-121.840049,796.477432553382,"Rural"
"0601306","California","CA","06","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",112211,119421,59.088,0.012,37.911886,-121.965703,1899.04887625237,"Rural"
"0601307","California","CA","06","Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA","In metropolitan area: Not in central/principal city",120474,131577,62.289,8.787,38.016429,-121.957368,1934.11356740355,"Suburban"
"0601308","California","CA","06","Contra Costa County (Northeast)--Antioch City PUMA","In metropolitan area: Not in central/principal city",107213,115049,64.552,1.384,37.957314,-121.813788,1660.8780518032,"Suburban"
"0601309","California","CA","06","Contra Costa County (East)--Brentwood & Oakley Cities PUMA","In metropolitan area: Not in central/principal city",103685,116667,136.522,26.481,37.944995,-121.647543,759.47466342421,"Suburban"
